Date,Close/Last,Volume,Open,High,Low
05/01/2023,4185.75,1196486,4190.00,4206.25,4178.50
04/28/2023,4188.50,1689041,4151.00,4193.75,4131.50
04/27/2023,4153.75,1619468,4085.50,4166.50,4080.75
04/26/2023,4076.00,1754708,4110.25,4116.25,4068.75
04/25/2023,4093.25,1693915,4157.25,4158.50,4091.50
04/24/2023,4159.50,1286097,4150.00,4164.25,4133.50
04/21/2023,4156.75,1589067,4153.75,4161.00,4135.25
04/20/2023,4152.50,1716010,4172.25,4173.50,4137.00
04/19/2023,4178.50,1251334,4176.00,4187.50,4150.50
04/18/2023,4180.00,1371991,4177.00,4198.25,4164.50
04/17/2023,4176.75,1259702,4174.25,4180.50,4148.00
04/14/2023,4163.75,1825639,4168.75,4189.00,4138.00
04/13/2023,4172.75,1383128,4117.50,4177.00,4110.25
04/12/2023,4119.00,1804818,4137.50,4177.75,4113.50
04/11/2023,4136.50,1180767,4138.50,4151.75,4128.75
04/10/2023,4136.25,1118916,4139.00,4143.00,4098.75
04/06/2023,4132.00,1260567,4113.75,4135.25,4096.50
04/05/2023,4117.25,1424871,4134.00,4135.50,4099.00
04/04/2023,4129.00,1533692,4152.50,4171.75,4115.25
04/03/2023,4153.75,1332462,4127.00,4157.75,4122.75
03/31/2023,4137.75,1556548,4081.00,4142.50,4078.00
03/30/2023,4080.00,1279988,4058.00,4087.75,4052.50
03/29/2023,4057.50,1327088,4006.50,4061.25,4006.00
03/28/2023,4001.50,1189467,4013.50,4023.75,3980.75
03/27/2023,4007.25,1250224,4008.00,4034.25,3997.50
03/24/2023,4001.25,1870979,3988.75,4010.75,3937.00
03/23/2023,3978.00,2158762,3972.75,4039.50,3948.50
03/22/2023,3970.50,1733260,4038.75,4073.75,3966.25
03/21/2023,4035.75,1444577,3986.50,4043.25,3981.75
03/20/2023,3983.00,1746275,3963.75,3989.50,3897.25
03/17/2023,3947.00,2103967,3995.00,4009.25,3932.50
03/16/2023,3994.50,2450872,3924.75,4000.00,3895.00
03/15/2023,3925.00,2971815,3953.75,3964.00,3865.00
03/14/2023,3920.50,1492998,3865.75,3938.00,3855.25
03/13/2023,3856.75,2678528,3887.75,3938.75,3808.75
03/10/2023,3862.75,3157992,3919.00,3941.75,3846.25
03/09/2023,3920.00,2475807,3997.00,4019.75,3909.50
03/08/2023,3995.00,1790700,3990.00,4003.25,3971.50
03/07/2023,3989.75,2079060,4053.75,4064.50,3982.50
03/06/2023,4052.50,1488740,4049.25,4082.50,4041.75
03/03/2023,4049.75,1578056,3983.00,4053.00,3974.00
03/02/2023,3984.75,1784623,3959.75,3995.25,3925.00
03/01/2023,3956.50,1976533,3968.50,3991.00,3943.00
02/28/2023,3975.50,1774573,3991.50,4003.75,3965.00
02/27/2023,3988.00,1586754,3976.50,4024.75,3973.00
02/24/2023,3975.75,1978865,4015.25,4023.25,3947.50
02/23/2023,4018.75,1897876,4010.00,4034.25,3974.25
02/22/2023,3999.00,1877028,4007.50,4025.00,3983.75
02/21/2023,4005.75,1823853,4083.00,4089.25,4002.00
02/17/2023,4087.50,1941351,4095.50,4096.00,4055.75
02/16/2023,4099.75,1992560,4159.00,4168.50,4095.00
02/15/2023,4158.25,1567727,4141.25,4161.75,4113.00
02/14/2023,4145.50,2323441,4149.75,4186.50,4103.75
02/13/2023,4147.25,1320269,4105.00,4150.75,4078.75
02/10/2023,4099.75,1698239,4098.00,4104.25,4060.75
02/09/2023,4091.75,1777929,4132.25,4170.25,4078.25
02/08/2023,4130.50,1736222,4167.25,4179.25,4121.25
02/07/2023,4175.75,2124506,4123.50,4188.25,4098.25
02/06/2023,4123.50,1516784,4134.25,4143.00,4104.00
02/03/2023,4147.75,2263572,4176.00,4194.00,4132.50
02/02/2023,4191.50,2220174,4145.50,4208.50,4136.75
02/01/2023,4132.25,1940056,4085.75,4163.25,4048.50
01/31/2023,4090.00,1706045,4039.25,4091.25,4007.50
01/30/2023,4032.50,1730636,4077.00,4086.00,4029.50
01/27/2023,4084.25,1526977,4065.00,4109.25,4057.25
01/26/2023,4075.50,1564498,4031.00,4077.00,4027.25
01/25/2023,4032.00,1704088,4039.00,4040.50,3963.25
01/24/2023,4032.75,1432233,4036.50,4047.50,4005.25
01/23/2023,4036.50,1532130,3987.00,4056.75,3980.25
01/20/2023,3988.50,1529244,3925.00,3990.50,3911.75
01/19/2023,3915.50,1836136,3945.25,3948.75,3901.75
01/18/2023,3945.75,1837347,4008.50,4033.50,3943.75
01/17/2023,4009.50,1376060,4020.00,4035.25,3996.75
01/13/2023,4018.25,1411420,4003.00,4024.25,3961.75
01/12/2023,4003.50,2044471,3991.75,4021.50,3954.00
01/11/2023,3990.00,1334109,3941.00,3992.50,3934.50
01/10/2023,3940.75,1477906,3914.50,3943.75,3891.50
01/09/2023,3913.75,1649040,3918.50,3973.25,3909.75
01/06/2023,3915.50,1938253,3833.00,3928.75,3819.00
01/05/2023,3829.00,1636427,3871.00,3885.50,3822.50
01/04/2023,3874.50,1859292,3842.75,3896.25,3836.50
01/03/2023,3846.00,1715949,3895.00,3906.75,3814.50
12/30/2022,3861.00,1297265,3869.75,3871.00,3821.50
12/29/2022,3871.75,1089698,3811.00,3882.75,3806.25
12/28/2022,3807.50,1204276,3858.00,3875.00,3804.50
12/27/2022,3855.00,975375,3878.00,3900.50,3837.25
12/23/2022,3869.75,1332677,3850.00,3872.50,3821.25
12/22/2022,3849.25,1753646,3915.00,3919.75,3788.50
12/21/2022,3905.75,1465991,3857.25,3918.75,3855.50
12/20/2022,3849.25,1464361,3842.75,3866.50,3803.50
12/19/2022,3845.50,1328539,3874.00,3899.00,3827.25
12/16/2022,3879.00,1847442,3920.00,3934.50,3855.25
12/15/2022,3927.25,2168729,4037.00,4043.00,3908.00
12/14/2022,4030.75,1887172,4054.50,4090.75,3997.00
12/13/2022,4022.25,1347293,3989.25,4145.00,3985.00
12/12/2022,3991.75,1553055,3933.00,3992.75,3924.50
12/09/2022,3936.25,1667155,3964.75,3990.00,3930.00
12/08/2022,3965.75,1661660,3935.75,3977.25,3916.00
12/07/2022,3936.75,1710759,3944.50,3961.50,3914.00
12/06/2022,3945.00,1799147,4005.75,4014.75,3921.50
12/05/2022,4003.25,1435183,4074.00,4075.75,3987.25
12/02/2022,4075.50,1783975,4077.50,4085.50,4006.75
