Date,Open,High,Low,Close,Adj Close,Volume
28-Apr-23,4151.75,4193.75,4131.75,4188.5,4188.5,867059
27-Apr-23,4085.5,4168,4080.75,4153.75,4153.75,867059
26-Apr-23,4110.75,4118,4066,4076,4076,1142361
25-Apr-23,4156.75,4158.25,4090.5,4093.25,4093.25,982508
24-Apr-23,4150.25,4165,4133.25,4159.5,4159.5,816228
21-Apr-23,4153.75,4161,4135.25,4156.75,4156.75,916521
20-Apr-23,4173.25,4173.5,4136.75,4152.5,4152.5,952818
19-Apr-23,4176.5,4187.5,4150.75,4178.5,4178.5,803932
18-Apr-23,4176.75,4198.25,4164.5,4180,4180,877748
17-Apr-23,4174,4180.5,4147.75,4176.75,4176.75,832732
14-Apr-23,4169.5,4189.25,4138,4163.75,4163.75,1155628
13-Apr-23,4118,4177,4110.25,4172.75,4172.75,824166
12-Apr-23,4137.5,4177.75,4113.5,4119,4119,1107157
11-Apr-23,4138.5,4151.75,4128.75,4136.5,4136.5,704860
10-Apr-23,4139,4143,4098.75,4136.25,4136.25,727461
6-Apr-23,4114.5,4135.25,4096.25,4132,4132,68211
5-Apr-23,4133.25,4135.75,4099,4117.25,4117.25,880310
4-Apr-23,4152.75,4171.75,4115.25,4129,4129,992255
3-Apr-23,4127.25,4157.75,4122,4153.75,4153.75,827677
31-Mar-23,4081.75,4142.5,4078,4137.75,4137.75,877764
30-Mar-23,4058,4087.75,4052.5,4080,4080,862962
29-Mar-23,4006.25,4061.5,4006,4057.5,4057.5,825817
28-Mar-23,4014.25,4024,3980.75,4001.5,4001.5,829837
27-Mar-23,4008,4034.5,3997.5,4007.25,4007.25,961869
24-Mar-23,3988,4011,3937,4001.25,4001.25,1342728
23-Mar-23,3972,4039.5,3948.5,3978,3978,1473848
22-Mar-23,4038.5,4074,3966,3970.5,3970.5,1109519
21-Mar-23,3986,4043.5,3981.75,4035.75,4035.75,901843
20-Mar-23,3963.25,3989.25,3897,3983,3983,1344261
17-Mar-23,3961,3976,3922.75,3957.05,3957.05,1293523
16-Mar-23,3892.75,3966.5,3863,3960.5,3960.5,161305
15-Mar-23,3920,3931.25,3833.5,3892.75,3892.75,299348
14-Mar-23,3865.75,3938.25,3855,3920.5,3920.5,303023
13-Mar-23,3885,3938.5,3808.75,3856.75,3856.75,1020831
10-Mar-23,3919.5,3942,3846.25,3862.75,3862.75,1958961
